record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R0099,2023-02-16,FB020,Trawler,Cummins 6BTA,7.7,14627,5,2023-01-09,Fuel filter replacement,38,193,79.0,3.21,92,1348,31.4,1,No,38,42,1,Fair,43,Normal,Routine preventive maintenance,All parameters normal,33,No,2023-03-21
R0100,2023-02-17,FB005,Trawler,Cummins 6BTA,8.0,15848,4,2023-01-07,Fuel filter replacement,41,165,78.1,4.19,92,854,12.2,2,No,39,46,2,Fair,42,Normal,Routine preventive maintenance,All parameters normal,5,Yes,2023-02-22
R0101,2023-02-17,FB025,Trawler,Perkins M115T,2.2,4947,6,2023-02-02,Routine inspection,15,92,97.4,4.86,88,1310,52.4,1,No,33,27,1,Fair,49,Normal,Overheating risk,temp=97.4C; inspection_overdue=49days,41,No,2023-03-30
R0102,2023-02-18,FB006,Longline,Volvo D6-310,2.3,4875,6,2023-01-22,Fuel filter replacement,27,163,83.2,2.88,100,1268,49.0,4,No,16,21,2,Fair,27,Normal,Routine preventive maintenance,vibration=4,28,No,2023-03-18
R0103,2023-02-18,FB025,Trawler,Perkins M115T,2.3,3945,6,2023-02-01,Routine inspection,17,104,96.5,1.8,69,1568,51.1,1,No,68,72,3,Fair,47,Normal,Emergency: engine protection,temp=96.5C; oil_pressure=1.8bar; coolant=69%; oil_change_overdue=68days; filter_overdue=72days; inspection_overdue=47days,7,Yes,2023-02-25
R0104,2023-02-19,FB001,Longline,Yanmar 4JH45,5.8,11905,4,2022-10-06,Oil & filter change,136,545,78.7,2.37,97,1159,43.0,5,Yes,33,30,5,Fair,35,Normal,Low oil pressure,oil_pressure=2.37bar; vibration=5; unusual_sounds; sea_state=5,9,No,2023-02-28
R0105,2023-02-19,FB024,Net Boat,Perkins M92,2.4,3731,8,2023-01-31,Oil & filter change,19,153,78.7,4.12,93,1210,52.7,3,Yes,12,24,4,Fair,28,Normal,Routine preventive maintenance,vibration=3; unusual_sounds; sea_state=4,72,No,2023-05-02
R0106,2023-02-20,FB024,Net Boat,Perkins M92,7.5,14888,8,2023-01-28,Oil & filter change,23,188,84.5,4.79,93,1474,55.0,3,No,9,10,4,Fair,30,Normal,Routine preventive maintenance,vibration=3; sea_state=4,12,No,2023-03-04
R0107,2023-02-20,FB024,Net Boat,Perkins M92,6.8,14168,6,2023-02-02,Routine inspection,18,109,83.6,5.02,86,1386,41.5,1,No,21,17,4,Poor,53,Normal,Hull/inspection required,sea_state=4; hull_poor; inspection_overdue=53days,34,No,2023-03-26
R0108,2023-02-20,FB020,Trawler,Cummins 6BTA,7.2,14409,4,2022-08-24,Major service,180,817,93.1,3.66,84,1529,66.4,1,No,26,33,4,Poor,69,Normal,Service interval reached (hours),temp=93.1C; service_hours=817; sea_state=4; hull_poor; inspection_overdue=69days,33,No,2023-03-25
R0109,2023-02-21,FB015,Trawler,Yanmar 6LY3,5.2,10150,5,2023-01-27,Oil & filter change,25,125,78.2,4.2,98,1332,63.1,2,No,40,34,3,Fair,25,Normal,Routine preventive maintenance,All parameters normal,48,No,2023-04-10
R0110,2023-02-21,FB022,Gillnetter,Volvo D4-180,8.5,17444,7,2022-11-25,Cooling system overhaul,88,618,80.1,2.39,93,1383,42.4,3,Yes,17,22,4,Fair,28,Normal,Low oil pressure,oil_pressure=2.39bar; vibration=3; unusual_sounds; service_hours=618; sea_state=4,55,No,2023-04-17
R0111,2023-02-22,FB009,Net Boat,Perkins M92,1.8,4087,7,2023-01-26,Oil & filter change,27,193,93.4,3.42,93,1378,50.5,3,No,13,20,3,Fair,42,Normal,Cooling system check required,temp=93.4C; vibration=3,23,No,2023-03-17
R0112,2023-02-22,FB024,Net Boat,Perkins M92,4.3,9255,5,2023-02-05,Routine inspection,17,86,79.3,3.96,88,1350,58.4,2,No,33,34,5,Good,26,Normal,Routine preventive maintenance,sea_state=5,62,No,2023-04-25
R0113,2023-02-23,FB017,Gillnetter,Yanmar 4LHA,3.8,8037,8,2022-11-20,Cooling system overhaul,95,765,91.7,4.2,89,1504,58.1,2,No,40,35,2,Fair,24,Normal,Service interval reached (hours),temp=91.7C; service_hours=765,88,No,2023-05-22
R0114,2023-02-23,FB014,Net Boat,MAN D2862,8.1,16740,8,2022-12-05,Valve adjustment,80,641,87.3,3.93,64,1280,28.9,5,Yes,57,53,4,Poor,55,Warning,Abnormal vibration/noise,temp=87.3C; coolant=64%; vibration=5; unusual_sounds; service_hours=641; oil_change_overdue=57days; sea_state=4; hull_poor; inspection_overdue=55days,1,Yes,2023-02-24
R0115,2023-02-24,FB016,Longline,Yanmar 4JH45,5.5,11366,6,2022-12-10,Oil & filter change,76,458,98.3,3.27,99,1258,47.4,2,No,30,25,3,Fair,33,Normal,Overheating risk,temp=98.3C,37,No,2023-04-02
R0116,2023-02-24,FB018,Seiner,Cummins 6BT5.9,7.1,14332,5,2023-02-08,Routine inspection,16,84,84.7,2.05,90,1281,35.9,1,No,5,1,3,Fair,35,Normal,Low oil pressure,oil_pressure=2.05bar,44,No,2023-04-09
R0117,2023-02-25,FB002,Gillnetter,Yanmar 4LHA,2.7,5444,6,2023-02-14,Oil & filter change,11,70,80.7,3.53,95,1411,40.5,2,No,31,45,3,Good,22,Normal,Routine preventive maintenance,All parameters normal,86,No,2023-05-22
R0118,2023-02-25,FB005,Trawler,Cummins 6BTA,8.4,16681,4,2023-02-06,Oil & filter change,19,77,83.7,3.29,93,1689,51.8,2,No,9,20,1,Poor,58,Normal,Hull/inspection required,hull_poor; inspection_overdue=58days,35,No,2023-04-01
R0119,2023-02-26,FB008,Seiner,Volvo D13,5.0,9393,6,2023-02-16,Oil & filter change,10,60,77.9,2.14,72,1220,52.0,2,No,36,39,4,Good,8,Normal,Low oil pressure,oil_pressure=2.14bar; coolant=72%; sea_state=4,65,No,2023-05-02
R0120,2023-02-26,FB004,Net Boat,Cummins QSB6.7,5.0,9522,4,2022-08-30,Cooling system overhaul,180,840,95.1,4.05,100,1711,61.1,3,No,42,52,3,Good,10,Normal,Overheating risk,temp=95.1C; vibration=3; service_hours=840,35,No,2023-04-02
R0121,2023-02-27,FB014,Net Boat,MAN D2862,8.3,16458,4,2023-01-24,Routine inspection,34,136,80.0,4.39,91,1184,42.3,3,No,29,35,3,Poor,63,Normal,Hull/inspection required,vibration=3; hull_poor; inspection_overdue=63days,47,No,2023-04-15
R0122,2023-02-27,FB021,Longline,Volvo D6-310,4.2,8520,6,2023-02-17,Oil & filter change,10,65,82.3,3.29,97,1447,59.2,3,No,14,19,4,Good,10,Normal,Routine preventive maintenance,vibration=3; sea_state=4,78,No,2023-05-16
R0123,2023-02-28,FB020,Trawler,Cummins 6BTA,4.3,9320,6,2023-02-02,Oil & filter change,26,160,83.4,3.45,94,1273,45.7,1,Yes,16,23,3,Good,16,Normal,Routine preventive maintenance,unusual_sounds,3,Yes,2023-03-03
R0124,2023-02-28,FB015,Trawler,Yanmar 6LY3,5.6,11179,8,2023-02-19,Oil & filter change,9,78,95.9,4.73,92,1206,43.2,1,No,64,68,5,Good,13,Normal,Overheating risk,temp=95.9C; oil_change_overdue=64days; filter_overdue=68days; sea_state=5,1,Yes,2023-03-01
R0125,2023-03-01,FB026,Longline,Caterpillar C7.1,2.4,5301,6,2023-02-06,Oil & filter change,23,141,81.7,3.7,98,1024,33.9,4,Yes,55,59,1,Good,15,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; oil_change_overdue=55days; filter_overdue=59days,5,Yes,2023-03-06
R0126,2023-03-01,FB017,Gillnetter,Yanmar 4LHA,3.7,7939,8,2023-02-08,Oil & filter change,21,173,88.3,3.82,94,1694,68.9,1,No,62,55,2,Good,22,Normal,Oil change overdue,temp=88.3C; oil_change_overdue=62days; filter_overdue=55days,14,No,2023-03-15
R0127,2023-03-02,FB003,Seiner,Cummins 6BT5.9,2.9,5684,8,2022-11-21,Cooling system overhaul,101,813,82.7,3.69,92,1278,37.7,2,No,51,56,1,Good,10,Normal,Service interval reached (hours),service_hours=813; oil_change_overdue=51days; filter_overdue=56days,27,No,2023-03-29
R0128,2023-03-02,FB023,Seiner,Volvo D13,2.2,4697,5,2022-11-24,Oil & filter change,98,490,93.4,4.48,98,1327,39.6,2,No,34,35,4,Good,21,Normal,Cooling system check required,temp=93.4C; sea_state=4,9,No,2023-03-11
R0129,2023-03-02,FB018,Seiner,Cummins 6BT5.9,7.6,15078,8,2023-02-05,Fuel filter replacement,25,202,82.2,4.5,81,1413,51.1,3,No,63,59,3,Poor,64,Normal,Oil change overdue,coolant=81%; vibration=3; oil_change_overdue=63days; filter_overdue=59days; hull_poor; inspection_overdue=64days,15,No,2023-03-17
R0130,2023-03-03,FB020,Trawler,Cummins 6BTA,5.6,11861,6,2023-01-31,Oil & filter change,31,186,81.5,2.43,97,1256,42.2,1,No,6,8,3,Fair,49,Normal,Low oil pressure,oil_pressure=2.43bar; inspection_overdue=49days,15,No,2023-03-18
R0131,2023-03-03,FB017,Gillnetter,Yanmar 4LHA,4.0,8317,6,2022-11-21,Cooling system overhaul,102,614,81.1,1.69,60,1470,59.1,5,Yes,22,32,2,Good,15,Normal,Emergency: engine protection,oil_pressure=1.69bar; coolant=60%; vibration=5; unusual_sounds; service_hours=614,10,No,2023-03-13
R0132,2023-03-04,FB017,Gillnetter,Yanmar 4LHA,4.4,8204,4,2023-02-13,Routine inspection,19,76,80.7,3.28,94,1532,68.6,2,Yes,34,35,1,Good,7,Normal,Routine preventive maintenance,unusual_sounds,51,No,2023-04-24
R0133,2023-03-04,FB003,Seiner,Cummins 6BT5.9,4.5,9080,5,2022-09-27,Valve adjustment,158,790,93.7,4.96,93,1695,70.8,5,Yes,62,63,2,Good,20,Normal,Abnormal vibration/noise,temp=93.7C; vibration=5; unusual_sounds; service_hours=790; oil_change_overdue=62days; filter_overdue=63days,1,Yes,2023-03-05
R0134,2023-03-05,FB017,Gillnetter,Yanmar 4LHA,5.9,12624,6,2022-12-11,Fuel filter replacement,84,508,99.7,4.31,92,1141,29.6,2,No,69,65,2,Fair,43,Normal,Overheating risk,temp=99.7C; oil_change_overdue=69days; filter_overdue=65days,32,No,2023-04-06
R0135,2023-03-05,FB024,Net Boat,Perkins M92,8.0,15909,5,2023-02-18,Oil & filter change,15,78,82.7,3.53,95,1666,46.5,3,No,32,42,1,Poor,45,Normal,Hull/inspection required,vibration=3; hull_poor; inspection_overdue=45days,52,No,2023-04-26
R0136,2023-03-06,FB010,Trawler,Perkins M115T,8.0,16223,6,2022-12-12,Fuel filter replacement,84,508,100.1,4.65,94,1125,29.1,2,No,19,12,3,Poor,49,Normal,Emergency: engine protection,temp=100.1C; hull_poor; inspection_overdue=49days,32,No,2023-04-07
R0137,2023-03-06,FB019,Net Boat,Cummins QSB6.7,4.2,8672,4,2023-02-11,Routine inspection,23,92,83.2,1.92,77,1592,49.9,4,Yes,29,39,4,Good,12,Normal,Emergency: engine protection,oil_pressure=1.92bar; coolant=77%; vibration=4; unusual_sounds; sea_state=4,4,Yes,2023-03-10
R0138,2023-03-07,FB001,Longline,Yanmar 4JH45,3.8,7081,5,2023-02-09,Routine inspection,26,131,82.6,4.65,91,1641,58.1,2,No,49,62,2,Good,16,Normal,Oil change due soon,oil_change_overdue=49days; filter_overdue=62days,23,No,2023-03-30
R0139,2023-03-07,FB011,Longline,Caterpillar C7.1,4.7,9655,7,2022-12-14,Cooling system service,83,582,78.5,4.69,98,1236,44.4,4,Yes,36,30,3,Good,16,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,39,No,2023-04-15
R0140,2023-03-08,FB014,Net Boat,MAN D2862,5.5,10303,7,2023-02-19,Oil & filter change,17,119,79.0,3.25,96,1366,50.2,4,Yes,16,19,2,Poor,49,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; hull_poor; inspection_overdue=49days,15,No,2023-03-23
R0141,2023-03-08,FB030,Trawler,Yanmar 6LY3,4.7,9087,8,2023-02-15,Oil & filter change,21,172,83.2,4.15,95,1474,72.2,3,Yes,41,45,1,Fair,27,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,43,No,2023-04-20
R0142,2023-03-09,FB007,Gillnetter,Volvo D4-180,6.1,12737,8,2022-11-28,Cooling system overhaul,101,808,86.4,4.27,94,1657,70.0,1,No,44,55,2,Poor,68,Normal,Service interval reached (hours),service_hours=808; filter_overdue=55days; hull_poor; inspection_overdue=68days,29,No,2023-04-07
R0143,2023-03-09,FB009,Net Boat,Perkins M92,5.4,10978,8,2023-01-02,Cooling system service,66,533,82.5,5.37,97,1567,77.8,2,No,13,11,2,Good,21,Normal,Routine preventive maintenance,All parameters normal,36,No,2023-04-14
R0144,2023-03-10,FB013,Seiner,John Deere 6068,3.7,7247,4,2023-02-12,Oil & filter change,26,105,93.3,3.35,97,1237,48.7,5,Yes,45,51,3,Fair,36,Normal,Abnormal vibration/noise,temp=93.3C; vibration=5; unusual_sounds; oil_change_overdue=45days,13,No,2023-03-23
R0145,2023-03-10,FB030,Trawler,Yanmar 6LY3,3.9,8023,7,2022-11-22,Cooling system overhaul,108,762,90.9,4.66,92,1407,61.5,5,Yes,20,12,2,Good,12,Normal,Abnormal vibration/noise,temp=90.9C; vibration=5; unusual_sounds; service_hours=762,32,No,2023-04-11
R0146,2023-03-11,FB026,Longline,Caterpillar C7.1,4.2,8369,5,2023-03-01,Routine inspection,10,52,80.8,3.81,72,1324,43.9,1,No,17,27,1,Good,15,Normal,Cooling system check required,coolant=72%,71,No,2023-05-21
R0147,2023-03-11,FB002,Gillnetter,Yanmar 4LHA,2.2,4406,5,2022-10-07,Major service,155,777,82.7,2.09,93,1322,37.3,1,No,48,56,1,Good,27,Normal,Low oil pressure,oil_pressure=2.09bar; service_hours=777; oil_change_overdue=48days; filter_overdue=56days,27,No,2023-04-07
R0148,2023-03-12,FB008,Seiner,Volvo D13,2.7,5728,5,2023-02-10,Oil & filter change,30,154,93.1,3.73,100,1953,78.0,1,No,11,6,3,Good,12,Normal,Cooling system check required,temp=93.1C,28,No,2023-04-09
R0149,2023-03-12,FB025,Trawler,Perkins M115T,6.6,12836,6,2022-12-29,Fuel filter replacement,73,442,78.6,3.8,75,1471,55.2,1,No,69,62,2,Fair,31,Normal,Oil change overdue,coolant=75%; oil_change_overdue=69days; filter_overdue=62days,42,No,2023-04-23
R0150,2023-03-12,FB002,Gillnetter,Yanmar 4LHA,4.2,8420,4,2022-10-31,Fuel filter replacement,132,528,91.6,3.16,90,1220,35.7,2,Yes,43,35,3,Good,15,Normal,Cooling system check required,temp=91.6C; unusual_sounds,45,No,2023-04-26
R0151,2023-03-13,FB026,Longline,Caterpillar C7.1,3.0,5843,6,2023-03-01,Routine inspection,12,72,85.9,2.03,100,1114,26.4,4,Yes,8,18,1,Good,9,Normal,Low oil pressure,oil_pressure=2.03bar; vibration=4; unusual_sounds,6,Yes,2023-03-19
R0152,2023-03-13,FB009,Net Boat,Perkins M92,5.4,10007,4,2022-09-14,Cooling system overhaul,180,805,82.6,4.37,84,1415,55.9,1,No,27,32,3,Good,7,Normal,Service interval reached (hours),service_hours=805,28,No,2023-04-10
R0153,2023-03-14,FB028,Seiner,John Deere 6068,6.8,13139,6,2023-02-27,Routine inspection,15,95,80.0,3.94,95,1242,33.5,4,Yes,16,15,2,Fair,46,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; inspection_overdue=46days,28,No,2023-04-11
R0154,2023-03-14,FB009,Net Boat,Perkins M92,3.3,7384,7,2022-11-23,Valve adjustment,111,781,92.5,2.84,90,1207,26.8,5,Yes,14,17,1,Good,20,Normal,Abnormal vibration/noise,temp=92.5C; vibration=5; unusual_sounds; service_hours=781,12,No,2023-03-26
R0155,2023-03-15,FB014,Net Boat,MAN D2862,7.3,14792,4,2023-02-09,Oil & filter change,34,137,97.1,3.71,100,1210,30.7,2,No,27,30,2,Fair,31,Normal,Overheating risk,temp=97.1C,44,No,2023-04-28
R0156,2023-03-15,FB020,Trawler,Cummins 6BTA,8.0,15338,4,2023-01-24,Fuel filter replacement,50,201,81.5,3.8,94,1267,41.8,2,No,10,2,3,Fair,37,Normal,Routine preventive maintenance,All parameters normal,84,No,2023-06-07
R0157,2023-03-16,FB004,Net Boat,Cummins QSB6.7,5.7,10629,8,2023-02-24,Oil & filter change,20,161,95.8,3.93,89,1594,53.2,3,No,8,8,4,Good,16,Normal,Overheating risk,temp=95.8C; vibration=3; sea_state=4,30,No,2023-04-15
R0158,2023-03-16,FB017,Gillnetter,Yanmar 4LHA,6.2,12343,7,2023-03-04,Oil & filter change,12,90,96.6,4.47,91,1812,72.2,1,No,39,44,5,Fair,24,Normal,Overheating risk,temp=96.6C; sea_state=5,62,No,2023-05-17
R0159,2023-03-17,FB016,Longline,Yanmar 4JH45,1.9,4580,5,2022-11-14,Valve adjustment,123,615,80.4,3.96,90,1455,59.8,3,No,22,27,2,Good,22,Normal,Approaching service interval,vibration=3; service_hours=615,62,No,2023-05-18
R0160,2023-03-17,FB024,Net Boat,Perkins M92,8.1,16106,8,2022-12-29,Valve adjustment,78,631,90.5,2.96,91,1582,66.6,3,No,7,1,3,Poor,47,Normal,Approaching service interval,temp=90.5C; vibration=3; service_hours=631; hull_poor; inspection_overdue=47days,1,Yes,2023-03-18
R0161,2023-03-18,FB030,Trawler,Yanmar 6LY3,4.2,9053,5,2022-09-27,Valve adjustment,172,863,85.9,3.46,69,1338,41.9,1,No,40,53,2,Fair,37,Normal,Service interval reached (hours),coolant=69%; service_hours=863,27,No,2023-04-14
R0162,2023-03-18,FB020,Trawler,Cummins 6BTA,8.0,16175,8,2023-01-19,Oil & filter change,58,469,81.4,3.9,89,914,12.6,4,Yes,30,22,2,Poor,52,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; hull_poor; inspection_overdue=52days,13,No,2023-03-31
R0163,2023-03-19,FB013,Seiner,John Deere 6068,5.6,11435,4,2022-11-25,Fuel filter replacement,114,458,82.5,2.41,94,1140,31.7,2,No,34,45,1,Fair,34,Normal,Low oil pressure,oil_pressure=2.41bar,3,Yes,2023-03-22
R0164,2023-03-19,FB013,Seiner,John Deere 6068,1.5,2332,7,2023-02-17,Fuel filter replacement,30,215,98.3,4.58,94,1821,80.6,1,Yes,29,43,3,Fair,35,Normal,Overheating risk,temp=98.3C; unusual_sounds,39,No,2023-04-27
R0165,2023-03-20,FB013,Seiner,John Deere 6068,1.8,4068,4,2022-10-15,Cooling system overhaul,156,624,93.7,4.86,89,1740,78.2,5,Yes,23,31,5,Good,15,Normal,Abnormal vibration/noise,temp=93.7C; vibration=5; unusual_sounds; service_hours=624; sea_state=5,6,Yes,2023-03-26
R0166,2023-03-20,FB025,Trawler,Perkins M115T,6.3,12432,4,2022-09-21,Valve adjustment,180,812,83.7,3.88,86,1425,55.9,1,No,35,38,1,Poor,50,Normal,Service interval reached (hours),service_hours=812; hull_poor; inspection_overdue=50days,8,No,2023-03-28
R0167,2023-03-21,FB010,Trawler,Perkins M115T,5.4,11231,6,2023-02-28,Routine inspection,21,127,79.8,4.26,94,1369,60.4,1,No,18,12,2,Good,6,Normal,Routine preventive maintenance,All parameters normal,27,No,2023-04-17
R0168,2023-03-21,FB006,Longline,Volvo D6-310,1.7,2992,4,2023-02-14,Oil & filter change,35,140,82.6,2.93,95,1227,57.3,1,No,67,65,1,Good,8,Normal,Oil change overdue,oil_change_overdue=67days; filter_overdue=65days,9,No,2023-03-30
R0169,2023-03-22,FB011,Longline,Caterpillar C7.1,6.7,13488,6,2023-02-17,Fuel filter replacement,33,201,89.6,4.06,95,1179,34.7,2,No,40,43,2,Fair,42,Normal,Cooling system check required,temp=89.6C,62,No,2023-05-23
R0170,2023-03-22,FB001,Longline,Yanmar 4JH45,7.5,15176,5,2023-03-02,Oil & filter change,20,100,96.2,3.15,95,1146,50.6,2,No,38,30,2,Poor,47,Normal,Overheating risk,temp=96.2C; hull_poor; inspection_overdue=47days,37,No,2023-04-28
R0171,2023-03-22,FB004,Net Boat,Cummins QSB6.7,5.0,9922,4,2022-10-29,Cooling system service,144,576,82.8,3.76,99,1503,54.7,3,Yes,27,34,2,Fair,36,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,33,No,2023-04-24
R0172,2023-03-23,FB003,Seiner,Cummins 6BT5.9,4.8,9802,8,2023-02-25,Fuel filter replacement,26,209,77.3,5.5,96,1409,61.0,2,No,6,18,2,Good,12,Normal,Routine preventive maintenance,All parameters normal,51,No,2023-05-13
R0173,2023-03-23,FB024,Net Boat,Perkins M92,1.5,2866,8,2022-12-14,Cooling system overhaul,99,794,82.8,3.98,100,1363,55.7,3,Yes,5,13,3,Good,21,Normal,Service interval reached (hours),vibration=3; unusual_sounds; service_hours=794,44,No,2023-05-06
R0174,2023-03-24,FB022,Gillnetter,Volvo D4-180,7.0,13675,8,2023-03-12,Routine inspection,12,98,81.9,3.28,100,1603,44.8,1,No,22,35,1,Fair,39,Normal,Routine preventive maintenance,All parameters normal,24,No,2023-04-17
R0175,2023-03-24,FB021,Longline,Volvo D6-310,3.8,8402,4,2023-03-06,Oil & filter change,18,72,82.4,4.04,85,1201,31.6,2,No,31,32,3,Fair,27,Normal,Routine preventive maintenance,All parameters normal,79,No,2023-06-11
R0176,2023-03-25,FB014,Net Boat,MAN D2862,7.7,15924,5,2023-02-19,Fuel filter replacement,34,174,82.1,3.49,84,1408,40.8,5,Yes,64,60,3,Good,20,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; oil_change_overdue=64days; filter_overdue=60days,22,No,2023-04-16
R0177,2023-03-25,FB022,Gillnetter,Volvo D4-180,4.1,7819,5,2023-03-06,Oil & filter change,19,96,82.8,3.22,92,1664,50.0,4,Yes,21,11,2,Fair,40,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,32,No,2023-04-26
R0178,2023-03-26,FB005,Trawler,Cummins 6BTA,5.5,11284,5,2023-01-01,Cooling system service,84,424,86.0,5.06,95,1129,44.2,3,Yes,21,21,2,Fair,29,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,52,No,2023-05-17
R0179,2023-03-26,FB028,Seiner,John Deere 6068,3.4,6428,6,2022-11-09,Major service,137,825,97.4,4.44,92,1533,77.3,2,No,23,15,4,Good,24,Normal,Overheating risk,temp=97.4C; service_hours=825; sea_state=4,49,No,2023-05-14
R0180,2023-03-27,FB016,Longline,Yanmar 4JH45,2.6,4607,6,2023-03-03,Routine inspection,24,144,78.5,4.01,95,1325,44.8,2,Yes,27,33,2,Good,15,Normal,Routine preventive maintenance,unusual_sounds,62,No,2023-05-28
R0181,2023-03-27,FB029,Net Boat,MAN D2862,6.9,14316,6,2023-03-19,Routine inspection,8,52,81.0,3.56,91,1378,57.8,4,Yes,16,26,1,Fair,22,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,49,No,2023-05-15
R0182,2023-03-28,FB005,Trawler,Cummins 6BTA,5.0,9147,5,2022-11-30,Oil & filter change,118,590,96.5,2.65,90,1329,60.8,4,No,28,20,1,Good,19,Normal,Overheating risk,temp=96.5C; oil_pressure=2.65bar; vibration=4,12,No,2023-04-09
R0183,2023-03-28,FB015,Trawler,Yanmar 6LY3,5.3,11063,8,2023-01-19,Oil & filter change,68,548,97.0,1.95,90,1298,47.5,3,Yes,59,61,4,Fair,34,Normal,Emergency: engine protection,temp=97.0C; oil_pressure=1.95bar; vibration=3; unusual_sounds; oil_change_overdue=59days; filter_overdue=61days; sea_state=4,14,No,2023-04-11
R0184,2023-03-29,FB021,Longline,Volvo D6-310,8.3,16473,8,2023-01-22,Fuel filter replacement,66,528,84.0,3.98,92,1281,44.5,2,No,41,44,1,Fair,32,Normal,Routine preventive maintenance,All parameters normal,39,No,2023-05-07
R0185,2023-03-29,FB015,Trawler,Yanmar 6LY3,8.2,16294,5,2023-03-08,Oil & filter change,21,108,83.4,1.95,96,1702,65.9,1,No,17,14,2,Fair,34,Normal,Low oil pressure,oil_pressure=1.95bar,2,Yes,2023-03-31
R0186,2023-03-30,FB014,Net Boat,MAN D2862,7.5,15204,5,2022-12-07,Fuel filter replacement,113,567,83.4,5.25,91,1065,37.6,1,No,41,36,3,Fair,49,Normal,Hull/inspection required,inspection_overdue=49days,3,Yes,2023-04-02
R0187,2023-03-30,FB005,Trawler,Cummins 6BTA,2.8,5890,6,2023-03-01,Oil & filter change,29,177,90.3,2.29,91,1137,44.6,1,No,43,50,2,Good,13,Normal,Low oil pressure,temp=90.3C; oil_pressure=2.29bar,56,No,2023-05-25
R0188,2023-03-31,FB012,Gillnetter,Caterpillar C9.3,5.7,10986,5,2023-02-23,Oil & filter change,36,180,83.8,4.01,95,1549,63.8,2,No,17,12,3,Good,20,Normal,Routine preventive maintenance,All parameters normal,81,No,2023-06-20
R0189,2023-03-31,FB008,Seiner,Volvo D13,7.6,15558,8,2022-12-20,Valve adjustment,101,808,85.4,4.45,92,1539,62.9,1,No,66,56,2,Fair,45,Normal,Service interval reached (hours),service_hours=808; oil_change_overdue=66days; filter_overdue=56days; inspection_overdue=45days,59,No,2023-05-29
